Species,method,scenario,area_metric,area_value,period,ssp,method_label,area_metric_label
chamFor,mf_var,2011-2040SSP245,suitable_area_km2,2532989.29141394,2011-2040,SSP245,Plain MF RF,Area with dual suitability >= 0.4
chamFor,mf_var,2011-2040SSP585,suitable_area_km2,2546796.92076828,2011-2040,SSP585,Plain MF RF,Area with dual suitability >= 0.4
chamFor,mf_var,2041-2070SSP245,suitable_area_km2,2632184.54714302,2041-2070,SSP245,Plain MF RF,Area with dual suitability >= 0.4
chamFor,mf_var,2041-2070SSP585,suitable_area_km2,2680350.01657618,2041-2070,SSP585,Plain MF RF,Area with dual suitability >= 0.4
chamFor,mf_var,2071-2100SSP245,suitable_area_km2,2698443.15622645,2071-2100,SSP245,Plain MF RF,Area with dual suitability >= 0.4
chamFor,mf_var,2071-2100SSP585,suitable_area_km2,2728828.80849517,2071-2100,SSP585,Plain MF RF,Area with dual suitability >= 0.4
chamFor,rf_var,2011-2040SSP245,suitable_area_km2,2539633.51281685,2011-2040,SSP245,Plain RF,Area with dual suitability >= 0.4
chamFor,rf_var,2011-2040SSP585,suitable_area_km2,2551947.7991389,2011-2040,SSP585,Plain RF,Area with dual suitability >= 0.4
chamFor,rf_var,2041-2070SSP245,suitable_area_km2,2637641.49033028,2041-2070,SSP245,Plain RF,Area with dual suitability >= 0.4
chamFor,rf_var,2041-2070SSP585,suitable_area_km2,2685160.72809512,2041-2070,SSP585,Plain RF,Area with dual suitability >= 0.4
chamFor,rf_var,2071-2100SSP245,suitable_area_km2,2702346.37016694,2071-2100,SSP245,Plain RF,Area with dual suitability >= 0.4
chamFor,rf_var,2071-2100SSP585,suitable_area_km2,2731005.62169828,2071-2100,SSP585,Plain RF,Area with dual suitability >= 0.4
cyclLon,mf_var,2011-2040SSP245,suitable_area_km2,2349468.86298131,2011-2040,SSP245,Plain MF RF,Area with dual suitability >= 0.4
cyclLon,mf_var,2011-2040SSP585,suitable_area_km2,2366150.31645228,2011-2040,SSP585,Plain MF RF,Area with dual suitability >= 0.4
cyclLon,mf_var,2041-2070SSP245,suitable_area_km2,2516767.76943591,2041-2070,SSP245,Plain MF RF,Area with dual suitability >= 0.4
cyclLon,mf_var,2041-2070SSP585,suitable_area_km2,2581917.83535084,2041-2070,SSP585,Plain MF RF,Area with dual suitability >= 0.4
cyclLon,mf_var,2071-2100SSP245,suitable_area_km2,2600074.95520825,2071-2100,SSP245,Plain MF RF,Area with dual suitability >= 0.4
cyclLon,mf_var,2071-2100SSP585,suitable_area_km2,2654311.84408272,2071-2100,SSP585,Plain MF RF,Area with dual suitability >= 0.4
cyclLon,rf_var,2011-2040SSP245,suitable_area_km2,2356218.08191445,2011-2040,SSP245,Plain RF,Area with dual suitability >= 0.4
cyclLon,rf_var,2011-2040SSP585,suitable_area_km2,2372806.95385846,2011-2040,SSP585,Plain RF,Area with dual suitability >= 0.4
cyclLon,rf_var,2041-2070SSP245,suitable_area_km2,2522361.74584711,2041-2070,SSP245,Plain RF,Area with dual suitability >= 0.4
cyclLon,rf_var,2041-2070SSP585,suitable_area_km2,2586843.31414425,2041-2070,SSP585,Plain RF,Area with dual suitability >= 0.4
cyclLon,rf_var,2071-2100SSP245,suitable_area_km2,2604046.46328454,2071-2100,SSP245,Plain RF,Area with dual suitability >= 0.4
cyclLon,rf_var,2071-2100SSP585,suitable_area_km2,2657027.86450977,2071-2100,SSP585,Plain RF,Area with dual suitability >= 0.4
lariGme,mf_var,2011-2040SSP245,suitable_area_km2,2037328.30988742,2011-2040,SSP245,Plain MF RF,Area with dual suitability >= 0.4
lariGme,mf_var,2011-2040SSP585,suitable_area_km2,2020692.65556033,2011-2040,SSP585,Plain MF RF,Area with dual suitability >= 0.4
lariGme,mf_var,2041-2070SSP245,suitable_area_km2,1833970.60094567,2041-2070,SSP245,Plain MF RF,Area with dual suitability >= 0.4
lariGme,mf_var,2041-2070SSP585,suitable_area_km2,1699216.78383471,2041-2070,SSP585,Plain MF RF,Area with dual suitability >= 0.4
lariGme,mf_var,2071-2100SSP245,suitable_area_km2,1699718.94450117,2071-2100,SSP245,Plain MF RF,Area with dual suitability >= 0.4
lariGme,mf_var,2071-2100SSP585,suitable_area_km2,1376959.70940697,2071-2100,SSP585,Plain MF RF,Area with dual suitability >= 0.4
lariGme,rf_var,2011-2040SSP245,suitable_area_km2,2038404.19754478,2011-2040,SSP245,Plain RF,Area with dual suitability >= 0.4
lariGme,rf_var,2011-2040SSP585,suitable_area_km2,2019558.35149556,2011-2040,SSP585,Plain RF,Area with dual suitability >= 0.4
lariGme,rf_var,2041-2070SSP245,suitable_area_km2,1841308.88800911,2041-2070,SSP245,Plain RF,Area with dual suitability >= 0.4
lariGme,rf_var,2041-2070SSP585,suitable_area_km2,1704611.33443994,2041-2070,SSP585,Plain RF,Area with dual suitability >= 0.4
