method,zone,metric,value,method_label,metric_label,zone_factor
mf_var,1,f1,0.391220639199076,Plain MF RF,F1,1
mf_var,2,f1,0.671060757557934,Plain MF RF,F1,2
mf_var,3,f1,0.569526729774646,Plain MF RF,F1,3
mf_var,4,f1,0.427959998353842,Plain MF RF,F1,4
mf_var,5,f1,0.403421926365133,Plain MF RF,F1,5
mf_var,6,f1,0.5175638906548,Plain MF RF,F1,6
mf_var,7,f1,0.386105968364579,Plain MF RF,F1,7
mf_var,9,f1,0.482124948662356,Plain MF RF,F1,9
mf_var,10,f1,0.504186534270593,Plain MF RF,F1,10
mf_var,11,f1,0.533283528568013,Plain MF RF,F1,11
mf_var,12,f1,0.652604743495978,Plain MF RF,F1,12
mf_var,13,f1,0.652042856921778,Plain MF RF,F1,13
mf_var,14,f1,0.427157966564312,Plain MF RF,F1,14
mf_var,15,f1,0.546467777400163,Plain MF RF,F1,15
mf_var,16,f1,0.669777550182324,Plain MF RF,F1,16
mf_var,17,f1,0.255567787280887,Plain MF RF,F1,17
mf_var,18,f1,0.344015437052533,Plain MF RF,F1,18
mf_var,19,f1,0.835872081616637,Plain MF RF,F1,19
mf_var,20,f1,0.567191797634708,Plain MF RF,F1,20
mf_var,21,f1,0.684487012148769,Plain MF RF,F1,21
mf_var,22,f1,0.431141766331287,Plain MF RF,F1,22
mf_var,23,f1,0.576595708871586,Plain MF RF,F1,23
mf_var,24,f1,0.701658172962274,Plain MF RF,F1,24
mf_var,25,f1,0.570774822494164,Plain MF RF,F1,25
mf_var,26,f1,0.323532747566533,Plain MF RF,F1,26
mf_var,27,f1,0.798439132227329,Plain MF RF,F1,27
mf_var,28,f1,0.30346841913107,Plain MF RF,F1,28
mf_var,29,f1,0.709229644820665,Plain MF RF,F1,29
mf_var,30,f1,0.478254450289063,Plain MF RF,F1,30
mf_var,31,f1,0.752091838643267,Plain MF RF,F1,31
mf_var,32,f1,0.469676444082677,Plain MF RF,F1,32
mf_var,33,f1,0.660069284005708,Plain MF RF,F1,33
mf_var,34,f1,0.281502849503975,Plain MF RF,F1,34
mf_var,35,f1,0.527592091492792,Plain MF RF,F1,35
mf_var,36,f1,0.208254779649007,Plain MF RF,F1,36
mf_var,37,f1,0.724071730990746,Plain MF RF,F1,37
mf_var,38,f1,0.659942875428138,Plain MF RF,F1,38
mf_var,39,f1,0.295465069946262,Plain MF RF,F1,39
mf_var,40,f1,0.392768098283187,Plain MF RF,F1,40
mf_var,41,f1,0.402103841524027,Plain MF RF,F1,41
mf_var,42,f1,0.580694573973046,Plain MF RF,F1,42
mf_var,43,f1,0.332087310593418,Plain MF RF,F1,43
mf_var,44,f1,0.421927758274228,Plain MF RF,F1,44
mf_var,45,f1,0.295184855799771,Plain MF RF,F1,45
mf_var,46,f1,0.42388991800158,Plain MF RF,F1,46
mf_var,47,f1,0.569520427492044,Plain MF RF,F1,47
mf_var,48,f1,0.243705110212169,Plain MF RF,F1,48
mf_var,49,f1,0.395166251400995,Plain MF RF,F1,49
mf_var,50,f1,0.202936141515796,Plain MF RF,F1,50
mf_var,52,f1,0.5681723419041,Plain MF RF,F1,52
mf_var,53,f1,0.616842692105182,Plain MF RF,F1,53
mf_var,54,f1,0.595356826241135,Plain MF RF,F1,54
mf_var,55,f1,0.382208393734752,Plain MF RF,F1,55
rf_var,1,f1,0.391236621275313,Plain RF,F1,1
rf_var,2,f1,0.672397879512413,Plain RF,F1,2
rf_var,3,f1,0.57033533222537,Plain RF,F1,3
rf_var,4,f1,0.432498290672987,Plain RF,F1,4
rf_var,5,f1,0.403963940294586,Plain RF,F1,5
rf_var,6,f1,0.517736158018627,Plain RF,F1,6
rf_var,7,f1,0.38431428278847,Plain RF,F1,7
rf_var,9,f1,0.482485799944445,Plain RF,F1,9
rf_var,10,f1,0.504259166609442,Plain RF,F1,10
rf_var,11,f1,0.533727533023748,Plain RF,F1,11
rf_var,12,f1,0.653500633142765,Plain RF,F1,12
rf_var,13,f1,0.6513418864705,Plain RF,F1,13
rf_var,14,f1,0.425539478255249,Plain RF,F1,14
rf_var,15,f1,0.54602427560308,Plain RF,F1,15
rf_var,16,f1,0.671008810107314,Plain RF,F1,16
rf_var,17,f1,0.255002955332264,Plain RF,F1,17
rf_var,18,f1,0.342460298955056,Plain RF,F1,18
rf_var,19,f1,0.835298976065271,Plain RF,F1,19
rf_var,20,f1,0.568028964008699,Plain RF,F1,20
rf_var,21,f1,0.684747741955127,Plain RF,F1,21
rf_var,22,f1,0.432165937191865,Plain RF,F1,22
rf_var,23,f1,0.575398266706513,Plain RF,F1,23
rf_var,24,f1,0.701811506445825,Plain RF,F1,24
rf_var,25,f1,0.567804535457519,Plain RF,F1,25
rf_var,26,f1,0.324225037904847,Plain RF,F1,26
rf_var,27,f1,0.800576071953506,Plain RF,F1,27
rf_var,28,f1,0.301834077480416,Plain RF,F1,28
rf_var,29,f1,0.709216416486279,Plain RF,F1,29
rf_var,30,f1,0.47919962136438,Plain RF,F1,30
rf_var,31,f1,0.752627751157339,Plain RF,F1,31
