method,scenario,period,ssp,transition_type,area_km2,total_area_km2,area_share,method_label
mf_var,2011-2040SSP245,2011-2040,SSP245,Reference ecotype remains Top-1,4455416.62242154,8501128.01140063,0.524097109988993,Plain MF RF
mf_var,2011-2040SSP245,2011-2040,SSP245,Different current ecotype is Top-1,3878363.13550487,8501128.01140063,0.456217472587604,Plain MF RF
mf_var,2011-2040SSP245,2011-2040,SSP245,No-analogue niche space,167348.25347421,8501128.01140063,0.0196854174234036,Plain MF RF
mf_var,2041-2070SSP245,2041-2070,SSP245,Reference ecotype remains Top-1,3433017.10856796,8501128.0114005,0.403830774453,Plain MF RF
mf_var,2041-2070SSP245,2041-2070,SSP245,Different current ecotype is Top-1,4750012.48330603,8501128.0114005,0.55875084776232,Plain MF RF
mf_var,2041-2070SSP245,2041-2070,SSP245,No-analogue niche space,318098.419526513,8501128.0114005,0.0374183777846804,Plain MF RF
mf_var,2071-2100SSP245,2071-2100,SSP245,Reference ecotype remains Top-1,2923725.91731635,8501128.01140035,0.343922114029516,Plain MF RF
mf_var,2071-2100SSP245,2071-2100,SSP245,Different current ecotype is Top-1,5099908.73183417,8501128.01140035,0.59990965022465,Plain MF RF
mf_var,2071-2100SSP245,2071-2100,SSP245,No-analogue niche space,477493.362249843,8501128.01140035,0.0561682357458334,Plain MF RF
mf_var,2011-2040SSP585,2011-2040,SSP585,Reference ecotype remains Top-1,4329140.03548377,8501128.01140045,0.50924301218358,Plain MF RF
mf_var,2011-2040SSP585,2011-2040,SSP585,Different current ecotype is Top-1,3998100.63529293,8501128.01140045,0.470302368101183,Plain MF RF
mf_var,2011-2040SSP585,2011-2040,SSP585,No-analogue niche space,173887.340623752,8501128.01140045,0.0204546197152379,Plain MF RF
mf_var,2041-2070SSP585,2041-2070,SSP585,Reference ecotype remains Top-1,2989195.36262036,8501128.01140046,0.351623379698752,Plain MF RF
mf_var,2041-2070SSP585,2041-2070,SSP585,Different current ecotype is Top-1,5046053.31018914,8501128.01140046,0.593574558978775,Plain MF RF
mf_var,2041-2070SSP585,2041-2070,SSP585,No-analogue niche space,465879.338590965,8501128.01140046,0.0548020613224735,Plain MF RF
mf_var,2071-2100SSP585,2071-2100,SSP585,Reference ecotype remains Top-1,2029738.98386447,8501128.01140037,0.238761136303618,Plain MF RF
mf_var,2071-2100SSP585,2071-2100,SSP585,Different current ecotype is Top-1,5506958.54544338,8501128.01140037,0.64779150932186,Plain MF RF
mf_var,2071-2100SSP585,2071-2100,SSP585,No-analogue niche space,964430.482092513,8501128.01140037,0.113447354374522,Plain MF RF
rf_var,2011-2040SSP245,2011-2040,SSP245,Reference ecotype remains Top-1,4469693.04235236,8501128.01140054,0.525776465941723,Plain RF
rf_var,2011-2040SSP245,2011-2040,SSP245,Different current ecotype is Top-1,3865521.81048059,8501128.01140054,0.45470692892716,Plain RF
rf_var,2011-2040SSP245,2011-2040,SSP245,No-analogue niche space,165913.158567588,8501128.01140054,0.0195166051311177,Plain RF
rf_var,2041-2070SSP245,2041-2070,SSP245,Reference ecotype remains Top-1,3463143.56797711,8501128.01140041,0.40737459350487,Plain RF
rf_var,2041-2070SSP245,2041-2070,SSP245,Different current ecotype is Top-1,4713845.99568746,8501128.01140041,0.55449653144453,Plain RF
rf_var,2041-2070SSP245,2041-2070,SSP245,No-analogue niche space,324138.447735845,8501128.01140041,0.0381288750506003,Plain RF
rf_var,2071-2100SSP245,2071-2100,SSP245,Reference ecotype remains Top-1,2976067.54819742,8501128.0114006,0.350079135875417,Plain RF
rf_var,2071-2100SSP245,2071-2100,SSP245,Different current ecotype is Top-1,5038695.36886966,8501128.0114006,0.592709033684992,Plain RF
rf_var,2071-2100SSP245,2071-2100,SSP245,No-analogue niche space,486365.094333511,8501128.0114006,0.0572118304395913,Plain RF
rf_var,2011-2040SSP585,2011-2040,SSP585,Reference ecotype remains Top-1,4348596.22072749,8501128.01140045,0.511531671431815,Plain RF
rf_var,2011-2040SSP585,2011-2040,SSP585,Different current ecotype is Top-1,3978533.0308266,8501128.01140045,0.468000602448426,Plain RF
rf_var,2011-2040SSP585,2011-2040,SSP585,No-analogue niche space,173998.759846358,8501128.01140045,0.0204677261197592,Plain RF
rf_var,2041-2070SSP585,2041-2070,SSP585,Reference ecotype remains Top-1,3042856.30673604,8501128.01140054,0.357935594271181,Plain RF
rf_var,2041-2070SSP585,2041-2070,SSP585,Different current ecotype is Top-1,4986421.67227893,8501128.01140054,0.586560003048046,Plain RF
rf_var,2041-2070SSP585,2041-2070,SSP585,No-analogue niche space,471850.032385574,8501128.01140054,0.0555044026807729,Plain RF
rf_var,2071-2100SSP585,2071-2100,SSP585,Reference ecotype remains Top-1,2060359.89308228,8501128.01140045,0.242363118202577,Plain RF
rf_var,2071-2100SSP585,2071-2100,SSP585,Different current ecotype is Top-1,5531364.14967743,8501128.01140045,0.650662375894068,Plain RF
rf_var,2071-2100SSP585,2071-2100,SSP585,No-analogue niche space,909403.968640741,8501128.01140045,0.106974505903356,Plain RF
