method,scenario,period,ssp,mean_n_zone_ranked,mean_n_zone_above_threshold,mean_top1_minus_top2,mean_top1_suit,novel_share,ranked_summary_file
mf_var,2011-2040SSP245,2011-2040,SSP245,4.02414919375933,1.27884272327749,0.164128401295047,0.790299937860459,0.613543816055214,H:/Jing/ecoChina2/dual suit ranking var/mf_var/2011-2040SSP245/ranked_summary.tif
mf_var,2011-2040SSP585,2011-2040,SSP585,4.03562871854428,1.26639522982597,0.162626311859728,0.78128758503765,0.613873260797151,H:/Jing/ecoChina2/dual suit ranking var/mf_var/2011-2040SSP585/ranked_summary.tif
mf_var,2041-2070SSP245,2041-2070,SSP245,4.12356064818993,1.16524532034452,0.144631408144649,0.716441545741379,0.620636663021656,H:/Jing/ecoChina2/dual suit ranking var/mf_var/2041-2070SSP245/ranked_summary.tif
mf_var,2041-2070SSP585,2041-2070,SSP585,4.17380337383492,1.09270867156603,0.13788526201789,0.681079144367635,0.627788442825156,H:/Jing/ecoChina2/dual suit ranking var/mf_var/2041-2070SSP585/ranked_summary.tif
mf_var,2071-2100SSP245,2071-2100,SSP245,4.18373126575387,1.0841476587053,0.137055476559701,0.676423175129191,0.628311137631595,H:/Jing/ecoChina2/dual suit ranking var/mf_var/2071-2100SSP245/ranked_summary.tif
mf_var,2071-2100SSP585,2071-2100,SSP585,4.28051148993031,0.87976380660814,0.135497276632568,0.606002157728522,0.652936503622969,H:/Jing/ecoChina2/dual suit ranking var/mf_var/2071-2100SSP585/ranked_summary.tif
mf_var,normal,normal,normal,3.76958049875509,1.37919137528749,0.193473536932745,0.952054849378571,0.609076471529394,H:/Jing/ecoChina2/dual suit ranking var/mf_var/normal/ranked_summary.tif
rf_var,2011-2040SSP245,2011-2040,SSP245,3.88244111394009,1.28197583728224,0.165183300472837,0.792274653420213,0.61352329139004,H:/Jing/ecoChina2/dual suit ranking var/rf_var/2011-2040SSP245/ranked_summary.tif
rf_var,2011-2040SSP585,2011-2040,SSP585,3.89116921985016,1.26878665562005,0.163620405240949,0.783250246399515,0.613923506450345,H:/Jing/ecoChina2/dual suit ranking var/rf_var/2011-2040SSP585/ranked_summary.tif
rf_var,2041-2070SSP245,2041-2070,SSP245,3.98754311929852,1.16510992119674,0.146487967174793,0.718174099926971,0.620989496335536,H:/Jing/ecoChina2/dual suit ranking var/rf_var/2041-2070SSP245/ranked_summary.tif
rf_var,2041-2070SSP585,2041-2070,SSP585,4.03963904719222,1.0916252556355,0.139825404184173,0.682649622522994,0.628129247730608,H:/Jing/ecoChina2/dual suit ranking var/rf_var/2041-2070SSP585/ranked_summary.tif
rf_var,2071-2100SSP245,2071-2100,SSP245,4.0491968905355,1.08263297023663,0.139248259109087,0.678062238668317,0.628786037016186,H:/Jing/ecoChina2/dual suit ranking var/rf_var/2071-2100SSP245/ranked_summary.tif
rf_var,2071-2100SSP585,2071-2100,SSP585,4.14237498824207,0.877333590787945,0.136415339327588,0.607274957665708,0.65010648641789,H:/Jing/ecoChina2/dual suit ranking var/rf_var/2071-2100SSP585/ranked_summary.tif
rf_var,normal,normal,normal,3.6105664349363,1.3785195027596,0.193927456438882,0.952222957511934,0.609074021298047,H:/Jing/ecoChina2/dual suit ranking var/rf_var/normal/ranked_summary.tif
