Species,PopulationID,source_zone,method,ssp,zone_name,reference_abundance,start_period,start_suitable_area_km2,start_weighted_area_km2,start_mean_dual_suitability,start_max_dual_suitability,end_period,end_suitable_area_km2,end_weighted_area_km2,end_mean_dual_suitability,end_max_dual_suitability,suitable_area_change_km2,suitable_area_percent_change,weighted_area_change_km2,mean_dual_suitability_change,within_species_gain_rank,within_species_loss_rank,within_species_absolute_change_rank
chamFor,chamFor-Zone21,21,mf_var,SSP245,One year two ripes or three ripes grain fields; evergreen orchards and subtropical economic tree plantations,36,2011-2040,1530533.46254914,1199875.25433149,0.116895770268274,1,2071-2100,1829385.60026031,1276863.99086277,0.124965561116142,0.986386716365814,298852.13771117,19.5260113564211,76988.73653128,0.008069790847868,1,,1
chamFor,chamFor-Zone30,30,mf_var,SSP245,Needleleaf forests in subtropical zone,10,2011-2040,1337047.96536245,1106879.19796073,0.107820438876551,0.998766124248505,2071-2100,1060009.59879559,926365.979783901,0.0904868052120297,0.996220350265503,-277038.36656686,-20.7201516881827,-180513.218176829,-0.0173336336645213,,1,2
chamFor,chamFor-Zone26,26,mf_var,SSP245,Bamboo forests and scrubs in subtropical and tropical zones,10,2011-2040,355928.647581211,437521.104961676,0.0427368293353721,0.998894512653351,2071-2100,144464.066505584,406886.314364577,0.0398403777934649,0.998792171478271,-211464.581075627,-59.4120710745481,-30634.790597099,-0.0028964515419072,,2,3
chamFor,chamFor-Zone49,49,mf_var,SSP245,Broadleaf evergreen forests in subtropical zone,45,2011-2040,892184.774801283,816016.281860835,0.0789973336701914,1,2071-2100,713356.973863415,729211.22615262,0.0708551068732413,1,-178827.800937868,-20.0438077390077,-86805.055708215,-0.00814222679695011,,3,4
chamFor,chamFor-Zone53,53,mf_var,SSP245,One year three ripes grain fields; tropical evergreen orchards and economic tree plantations,17,2011-2040,289995.401916564,253701.435384659,0.0239104676787577,1,2071-2100,357180.834448443,300012.073302809,0.0283680716610606,1,67185.4325318791,23.1677578636951,46310.63791815,0.0044576039823029,2,,5
chamFor,chamFor-Zone34,34,mf_var,SSP245,"Needleleaf, evergreen and deciduous broadleaf mixed forests on mountains in subtropical zone",32,2011-2040,146971.869263789,165056.44759436,0.0166860757250007,1,2071-2100,141085.699764157,174342.361189199,0.0181516230950266,1,-5886.169499632,-4.00496335054931,9285.91359483899,0.0014655473700259,,4,6
chamFor,chamFor-Zone10,10,mf_var,SSP245,Needleleaf forests on mountains in subtropical and tropical zones,27,2011-2040,450367.913421521,415807.106209249,0.0417823776554996,1,2071-2100,454654.037266167,432326.807470186,0.0436141522517113,1,4286.12384464598,0.951693874477773,16519.701260937,0.0018317745962117,3,,7
chamFor,chamFor-Zone30,30,mf_var,SSP585,Needleleaf forests in subtropical zone,10,2011-2040,1353438.25968577,1097806.91280904,0.106973193972744,0.998434722423553,2071-2100,678526.77121876,788855.648397844,0.0772671384497844,0.977640450000763,-674911.48846701,-49.8664407952902,-308951.264411196,-0.0297060555229596,,1,1
chamFor,chamFor-Zone49,49,mf_var,SSP585,Broadleaf evergreen forests in subtropical zone,45,2011-2040,889791.92676693,811565.026888057,0.0785858428012938,1,2071-2100,518352.978388061,635530.781334496,0.0619671399132788,1,-371438.948378869,-41.7444727475217,-176034.245553561,-0.016618702888015,,2,2
chamFor,chamFor-Zone21,21,mf_var,SSP585,One year two ripes or three ripes grain fields; evergreen orchards and subtropical economic tree plantations,36,2011-2040,1551059.6807626,1201537.26610723,0.117092041448097,0.999445676803589,2071-2100,1865238.78048863,1269536.75920169,0.12469948064926,0.979230105876923,314179.09972603,20.2557711751981,67999.4930944601,0.007607439201163,1,,3
chamFor,chamFor-Zone26,26,mf_var,SSP585,Bamboo forests and scrubs in subtropical and tropical zones,10,2011-2040,323176.569208065,429231.634427959,0.0419370686600809,0.998861074447632,2071-2100,55835.4501804734,386336.353645155,0.0378611602225249,0.996465742588043,-267341.119027592,-82.72292749524,-42895.280782804,-0.004075908437556,,3,4
chamFor,chamFor-Zone53,53,mf_var,SSP585,One year three ripes grain fields; tropical evergreen orchards and economic tree plantations,17,2011-2040,291314.62307248,256300.311135909,0.0241669378735901,1,2071-2100,386256.863445307,330834.624388543,0.0314045200344573,0.999976992607117,94942.240372827,32.5909627781387,74534.313252634,0.00723758216086721,2,,5
