source_zone,method,scenario,period,ssp,source_area_km2,novel_area_km2,novel_share_of_source,rank_by_novel_area,rank_by_novel_share,zone_name
3,mf_var,2011-2040SSP245,2011-2040,SSP245,285858.71471896,16913.9738452229,0.0591689984398473,1,7,Broadleaf deciduous forests in temperate zone
13,mf_var,2011-2040SSP245,2011-2040,SSP245,344890.410320997,16001.6939703374,0.0463964595462201,2,15,Temperate tufted grass steppes
27,mf_var,2011-2040SSP245,2011-2040,SSP245,485826.009657919,13134.0356054257,0.0270344430811221,3,21,Two years three ripes or one year two ripes grain fields and deciduous orchards
33,mf_var,2011-2040SSP245,2011-2040,SSP245,267374.6794135,11250.0885998696,0.0420761181445725,4,18,One year one ripe grain fields and cold-tolerant economic crop fields; deciduous orchards
15,mf_var,2011-2040SSP245,2011-2040,SSP245,162518.920774716,9236.61980571853,0.056834119754723,5,9,Grass and forb halophytic meadows
22,mf_var,2011-2040SSP245,2011-2040,SSP245,68865.4099821478,7932.94021724421,0.115194844832851,6,1,Alpine cushion vegetation
37,mf_var,2011-2040SSP245,2011-2040,SSP245,137754.539140944,7430.5536126436,0.0539405355277695,7,10,Needleleaf forests in temperate zone
7,mf_var,2011-2040SSP245,2011-2040,SSP245,167184.881658758,6815.16323128142,0.0407642315720384,8,19,Deciduous scrubs in temperate zone
14,mf_var,2011-2040SSP245,2011-2040,SSP245,57379.1058545769,6342.60240512588,0.110538536818624,9,2,Microphyllous deciduous woodlands in temperate zone
28,mf_var,2011-2040SSP245,2011-2040,SSP245,77051.2998985893,6278.53176424936,0.0814850855535574,10,4,Broadleaf deciduous forests in subtropical zone
36,mf_var,2011-2040SSP245,2011-2040,SSP245,100690.348914119,5795.96505512766,0.0575622700450782,11,8,Broadleaf evergreen and deciduous mixed forests in subtropical zone
12,mf_var,2011-2040SSP245,2011-2040,SSP245,212435.09275879,5636.30630840602,0.0265318984505342,12,22,One year one ripe grain fields and cold-tolerant economic crop fields
11,mf_var,2011-2040SSP245,2011-2040,SSP245,112618.233713768,5188.29787959385,0.04606978558002,13,16,Temperate grass and forb meadow steppes
31,mf_var,2011-2040SSP245,2011-2040,SSP245,524871.316887411,3914.08780593185,0.00745723319221014,14,36,Grass and Carex spp. high-cold steppes
49,mf_var,2011-2040SSP245,2011-2040,SSP245,152314.528027568,3203.57125732129,0.0210326046950785,15,24,Broadleaf evergreen forests in subtropical zone
6,mf_var,2011-2040SSP245,2011-2040,SSP245,60927.1604043915,3178.82013918682,0.0521741062292754,16,12,Cold-temperate and temperate marshes
4,mf_var,2011-2040SSP245,2011-2040,SSP245,59865.7633857223,3139.54467887163,0.0524430743268597,17,11,"Grass, Carex and forb swamp meadows"
25,mf_var,2011-2040SSP245,2011-2040,SSP245,198513.317492661,2538.34737872261,0.012786786351583,18,32,Temperate tufted low grass and nano-semi-shrub desert steppes
5,mf_var,2011-2040SSP245,2011-2040,SSP245,106859.249572887,2438.72914909411,0.022821881669969,19,23,Grass and forb meadows
32,mf_var,2011-2040SSP245,2011-2040,SSP245,73044.9499715953,2388.49835158515,0.0326990209797386,20,20,Succulent halophytic dwarf semi-shrub deserts
1,mf_var,2011-2040SSP245,2011-2040,SSP245,29367.955245408,2293.77208022637,0.0781045892047601,21,5,One year one ripe fields with cold-tolerant crops of short growth duration
19,mf_var,2011-2040SSP245,2011-2040,SSP245,387321.382399615,2262.46170221109,0.00584130338530295,22,41,No vegetation
2,mf_var,2011-2040SSP245,2011-2040,SSP245,143114.077019822,2224.4185261872,0.0155429750343784,23,28,Needleleaf forests in cold-temperate zone and on mountains in temperate zone
41,mf_var,2011-2040SSP245,2011-2040,SSP245,100305.136265782,1977.30954035143,0.0197129440621275,24,25,Temperate grasslands
43,mf_var,2011-2040SSP245,2011-2040,SSP245,17170.5106824452,1856.3459037779,0.10811244569888,25,3,High-cold marshes
47,mf_var,2011-2040SSP245,2011-2040,SSP245,264618.071817995,1637.84845194867,0.00618948071345326,26,40,One year two ripes grain fields; evergreen and deciduous orchards; economic tree plantations
42,mf_var,2011-2040SSP245,2011-2040,SSP245,179063.794590041,1409.43093662719,0.00787111062766218,27,35,Cushion nano-semi-shrub high-cold deserts
10,mf_var,2011-2040SSP245,2011-2040,SSP245,118380.956323064,1339.38862972938,0.0113142237681723,28,34,Needleleaf forests on mountains in subtropical and tropical zones
23,mf_var,2011-2040SSP245,2011-2040,SSP245,212618.618755638,1206.76028607524,0.00567570372311639,29,42,Shrub deserts
39,mf_var,2011-2040SSP245,2011-2040,SSP245,52943.4709010204,993.62949526926,0.0187677437530849,30,26,Sclerophyllous broadleaf evergreen forests in subtropical zone
46,mf_var,2011-2040SSP245,2011-2040,SSP245,130331.83851748,929.740822130192,0.00713364311212028,31,37,Subalpine sclerophyllous broadleaf evergreen scrubs
20,mf_var,2011-2040SSP245,2011-2040,SSP245,293024.956879133,918.650698597791,0.00313505958121074,32,46,Alpine sparse vegetation
24,mf_var,2011-2040SSP245,2011-2040,SSP245,448414.155928079,918.062963457166,0.00204735499832083,33,48,Semi-shrub and dwarf semi-shrub deserts
34,mf_var,2011-2040SSP245,2011-2040,SSP245,17547.3354933682,741.146471586801,0.0422369807579565,34,17,"Needleleaf, evergreen and deciduous broadleaf mixed forests on mountains in subtropical zone"
16,mf_var,2011-2040SSP245,2011-2040,SSP245,502190.587346759,730.485824427189,0.00145459879741393,35,49,Kobresia spp. and forb high-cold meadows
9,mf_var,2011-2040SSP245,2011-2040,SSP245,45391.9571038656,719.048706500656,0.0158408835480553,36,27,Needleleaf and deciduous broadleaf mixed forests in temperate zone
50,mf_var,2011-2040SSP245,2011-2040,SSP245,13098.451231407,640.910374589949,0.048930240932088,37,13,Evergreen xeromorphic succulent thorny scrubs in subtropical and tropical zones
18,mf_var,2011-2040SSP245,2011-2040,SSP245,115838.608673576,618.440175296204,0.00533880873033377,38,43,Subalpine broadleaf deciduous scrubs
48,mf_var,2011-2040SSP245,2011-2040,SSP245,7836.15797316011,607.731604596645,0.0775547923712369,39,6,Subtropical and tropical marshes
45,mf_var,2011-2040SSP245,2011-2040,SSP245,46253.2545285081,596.545973967945,0.0128973837635634,40,31,Subalpine needleleaf evergreen scrubs
29,mf_var,2011-2040SSP245,2011-2040,SSP245,125597.185184878,534.161591844386,0.00425297422914457,41,44,Dwarf semi-arboreous deserts
38,mf_var,2011-2040SSP245,2011-2040,SSP245,35331.6927714883,402.757827925749,0.0113993357332362,42,33,Annual herb deserts
21,mf_var,2011-2040SSP245,2011-2040,SSP245,387821.089449428,342.563849949262,0.000883303820417771,43,53,One year two ripes or three ripes grain fields; evergreen orchards and subtropical economic tree plantations
30,mf_var,2011-2040SSP245,2011-2040,SSP245,350328.455343544,326.589162153458,0.000932237039760854,44,51,Needleleaf forests in subtropical zone
35,mf_var,2011-2040SSP245,2011-2040,SSP245,48263.3999115139,309.253930758066,0.00640762837522952,45,39,Steppe shrub deserts
17,mf_var,2011-2040SSP245,2011-2040,SSP245,5921.18003716102,281.082867917024,0.0474707518016615,46,14,Alpine tundra
54,mf_var,2011-2040SSP245,2011-2040,SSP245,19375.4010813885,272.811209571468,0.014080287082858,47,30,Tropical mangroves
40,mf_var,2011-2040SSP245,2011-2040,SSP245,258095.741330646,262.787768219751,0.00101817940452994,48,50,Subtropical and tropical grasslands
44,mf_var,2011-2040SSP245,2011-2040,SSP245,274742.074732911,255.745260295037,0.000930855823752727,49,52,Broadleaf evergreen and deciduous scrubs in subtropical and tropical zones
52,mf_var,2011-2040SSP245,2011-2040,SSP245,37584.5641392318,249.98601782525,0.00665129484804396,50,38,Tropical rain forests
55,mf_var,2011-2040SSP245,2011-2040,SSP245,17353.6329701233,247.527328521277,0.014263718089891,51,29,Tropical monsoon forests
53,mf_var,2011-2040SSP245,2011-2040,SSP245,76787.44201513,244.61720311333,0.00318564073361281,52,45,One year three ripes grain fields; tropical evergreen orchards and economic tree plantations
26,mf_var,2011-2040SSP245,2011-2040,SSP245,82250.9422070026,237.869227602177,0.0028919939543492,53,47,Bamboo forests and scrubs in subtropical and tropical zones
37,mf_var,2041-2070SSP245,2041-2070,SSP245,137754.539140937,39174.4988780994,0.284379005747462,1,1,Needleleaf forests in temperate zone
27,mf_var,2041-2070SSP245,2041-2070,SSP245,485826.009657892,39016.8800148755,0.0803103976305228,2,9,Two years three ripes or one year two ripes grain fields and deciduous orchards
3,mf_var,2041-2070SSP245,2041-2070,SSP245,285858.714718927,30227.4561598615,0.105742643492898,3,4,Broadleaf deciduous forests in temperate zone
13,mf_var,2041-2070SSP245,2041-2070,SSP245,344890.410320981,24822.5973167701,0.0719724195684893,4,13,Temperate tufted grass steppes
33,mf_var,2041-2070SSP245,2041-2070,SSP245,267374.67941342,17121.8466059769,0.0640369037320201,5,15,One year one ripe grain fields and cold-tolerant economic crop fields; deciduous orchards
24,mf_var,2041-2070SSP245,2041-2070,SSP245,448414.155928078,17058.791823774,0.0380424917417417,6,22,Semi-shrub and dwarf semi-shrub deserts
15,mf_var,2041-2070SSP245,2041-2070,SSP245,162518.920774714,15503.9472569754,0.0953977985029028,7,7,Grass and forb halophytic meadows
7,mf_var,2041-2070SSP245,2041-2070,SSP245,167184.881658769,12399.5949252598,0.0741669629588149,8,12,Deciduous scrubs in temperate zone
19,mf_var,2041-2070SSP245,2041-2070,SSP245,387321.382399717,12349.6629189074,0.0318847951083746,9,25,No vegetation
28,mf_var,2041-2070SSP245,2041-2070,SSP245,77051.2998985898,7797.44753547727,0.10119813093017,10,5,Broadleaf deciduous forests in subtropical zone
