Species,method,method_label,scenario,period,ssp,common_valid_pixels,common_valid_area_km2,rank_cutoff,rank_label,pixel_count,area_km2,pixel_share,area_share
chamFor,mf_var,Plain MF RF,2011-2040SSP585,2011-2040,SSP585,12393866,8501128.01140083,1,Top-1,1797988,1364454.35376359,0.145070795504809,0.160502741746004
chamFor,mf_var,Plain MF RF,2011-2040SSP585,2011-2040,SSP585,12393866,8501128.01140083,3,Top-3,2681274,2034668.71283983,0.216338792108935,0.239341027462608
chamFor,mf_var,Plain MF RF,2011-2040SSP585,2011-2040,SSP585,12393866,8501128.01140083,5,Top-5,3062504,2323256.44358302,0.2470983630128,0.273288020185946
cyclLon,mf_var,Plain MF RF,2011-2040SSP585,2011-2040,SSP585,12393866,8501128.01140083,1,Top-1,1495995,1133813.53086713,0.120704467839171,0.13337212771606
cyclLon,mf_var,Plain MF RF,2011-2040SSP585,2011-2040,SSP585,12393866,8501128.01140083,3,Top-3,2364189,1792430.63591723,0.190754765300835,0.210846211645491
cyclLon,mf_var,Plain MF RF,2011-2040SSP585,2011-2040,SSP585,12393866,8501128.01140083,5,Top-5,2773893,2104222.3857815,0.223811763012445,0.247522726743973
lariGme,mf_var,Plain MF RF,2011-2040SSP585,2011-2040,SSP585,12393866,8501128.01140083,1,Top-1,1563339,945051.696497368,0.126138123487861,0.111167799759039
lariGme,mf_var,Plain MF RF,2011-2040SSP585,2011-2040,SSP585,12393866,8501128.01140083,3,Top-3,2582402,1606117.83684808,0.20836129743536,0.188929967257771
lariGme,mf_var,Plain MF RF,2011-2040SSP585,2011-2040,SSP585,12393866,8501128.01140083,5,Top-5,2855544,1796881.41059493,0.230399780020213,0.2113697627168
lariOlg,mf_var,Plain MF RF,2011-2040SSP585,2011-2040,SSP585,12393866,8501128.01140083,1,Top-1,2232209,1412822.46480142,0.180105949184863,0.166192352697982
lariOlg,mf_var,Plain MF RF,2011-2040SSP585,2011-2040,SSP585,12393866,8501128.01140083,3,Top-3,3305908,2108456.38685774,0.266737432855898,0.248020778422593
lariOlg,mf_var,Plain MF RF,2011-2040SSP585,2011-2040,SSP585,12393866,8501128.01140083,5,Top-5,3477670,2221372.63193206,0.280596062600645,0.261303279865094
phylPub,mf_var,Plain MF RF,2011-2040SSP585,2011-2040,SSP585,12393866,8501128.01140083,1,Top-1,2541675,1924281.42956327,0.205075236411302,0.226356011459023
phylPub,mf_var,Plain MF RF,2011-2040SSP585,2011-2040,SSP585,12393866,8501128.01140083,3,Top-3,2981426,2260112.83636003,0.240556578552649,0.265860346218643
phylPub,mf_var,Plain MF RF,2011-2040SSP585,2011-2040,SSP585,12393866,8501128.01140083,5,Top-5,3105841,2352361.73577433,0.250595012080976,0.276711717859041
pinuSyl,mf_var,Plain MF RF,2011-2040SSP585,2011-2040,SSP585,12393866,8501128.01140083,1,Top-1,1722067,1088563.2133324,0.138945103973207,0.128049267329292
pinuSyl,mf_var,Plain MF RF,2011-2040SSP585,2011-2040,SSP585,12393866,8501128.01140083,3,Top-3,2755242,1749914.19300928,0.222306905690283,0.205844940890489
pinuSyl,mf_var,Plain MF RF,2011-2040SSP585,2011-2040,SSP585,12393866,8501128.01140083,5,Top-5,3078335,1971390.18326415,0.248375688425226,0.231897482383553
pinuYun,mf_var,Plain MF RF,2011-2040SSP585,2011-2040,SSP585,12393866,8501128.01140083,1,Top-1,3756592,2760059.04941323,0.303100904915383,0.324669743322501
pinuYun,mf_var,Plain MF RF,2011-2040SSP585,2011-2040,SSP585,12393866,8501128.01140083,3,Top-3,5914253,4208812.63772986,0.477191943175761,0.495088726117927
pinuYun,mf_var,Plain MF RF,2011-2040SSP585,2011-2040,SSP585,12393866,8501128.01140083,5,Top-5,6346527,4492422.19948874,0.512070003016008,0.528450129613854
querVar,mf_var,Plain MF RF,2011-2040SSP585,2011-2040,SSP585,12393866,8501128.01140083,1,Top-1,5376300,3790822.98287873,0.433787165360671,0.445919997651473
querVar,mf_var,Plain MF RF,2011-2040SSP585,2011-2040,SSP585,12393866,8501128.01140083,3,Top-3,6671627,4643631.192641,0.538300720695221,0.546237062471409
querVar,mf_var,Plain MF RF,2011-2040SSP585,2011-2040,SSP585,12393866,8501128.01140083,5,Top-5,6911846,4804509.95241321,0.557682808576436,0.565161463981003
robiPse,mf_var,Plain MF RF,2011-2040SSP585,2011-2040,SSP585,12393866,8501128.01140083,1,Top-1,2765254,1797757.29755475,0.223114724654922,0.211472794568413
robiPse,mf_var,Plain MF RF,2011-2040SSP585,2011-2040,SSP585,12393866,8501128.01140083,3,Top-3,3447657,2223693.41485855,0.278174461463437,0.261576276921881
robiPse,mf_var,Plain MF RF,2011-2040SSP585,2011-2040,SSP585,12393866,8501128.01140083,5,Top-5,3654270,2349925.80322748,0.294845046735216,0.27642517558564
saliMat,mf_var,Plain MF RF,2011-2040SSP585,2011-2040,SSP585,12393866,8501128.01140083,1,Top-1,1516789,984683.204896329,0.122382233275719,0.115829711489555
saliMat,mf_var,Plain MF RF,2011-2040SSP585,2011-2040,SSP585,12393866,8501128.01140083,3,Top-3,2331585,1501857.459098,0.188124109135923,0.176665668024745
saliMat,mf_var,Plain MF RF,2011-2040SSP585,2011-2040,SSP585,12393866,8501128.01140083,5,Top-5,2632220,1692677.24450415,0.212380866470559,0.199112075742667
