source_zone,method,method_label,scenario,period,ssp,common_valid_pixels,common_valid_area_km2,rank_cutoff,rank_label,pixel_count,area_km2,pixel_share,area_share
1,mf_var,Plain MF RF,2071-2100SSP585,2071-2100,SSP585,12393866,8501128.01140083,1,Top-1,66488,46727.3710746563,0.0053645892250247,0.00549660833385762
1,mf_var,Plain MF RF,2071-2100SSP585,2071-2100,SSP585,12393866,8501128.01140083,3,Top-3,131789,93395.2145002362,0.0106334052667666,0.0109862143441416
1,mf_var,Plain MF RF,2071-2100SSP585,2071-2100,SSP585,12393866,8501128.01140083,5,Top-5,198524,142386.561964226,0.0160179237051619,0.0167491374995497
2,mf_var,Plain MF RF,2071-2100SSP585,2071-2100,SSP585,12393866,8501128.01140083,1,Top-1,22045,13373.2068532624,0.00177870246459014,0.00157310969030553
2,mf_var,Plain MF RF,2071-2100SSP585,2071-2100,SSP585,12393866,8501128.01140083,3,Top-3,100253,60767.0300775225,0.00808892076128627,0.00714811375573078
2,mf_var,Plain MF RF,2071-2100SSP585,2071-2100,SSP585,12393866,8501128.01140083,5,Top-5,117634,72570.5040804989,0.00949130803899284,0.0085365734974435
3,mf_var,Plain MF RF,2071-2100SSP585,2071-2100,SSP585,12393866,8501128.01140083,1,Top-1,369042,227732.563541856,0.0297761812173861,0.0267885112700861
3,mf_var,Plain MF RF,2071-2100SSP585,2071-2100,SSP585,12393866,8501128.01140083,3,Top-3,680596,428831.164466811,0.0549139388791197,0.0504440309440943
3,mf_var,Plain MF RF,2071-2100SSP585,2071-2100,SSP585,12393866,8501128.01140083,5,Top-5,765012,486243.864003226,0.061725050117534,0.0571975699402627
4,mf_var,Plain MF RF,2071-2100SSP585,2071-2100,SSP585,12393866,8501128.01140083,1,Top-1,2420,1568.9959253589,0.000195257879986761,0.000184563263046354
4,mf_var,Plain MF RF,2071-2100SSP585,2071-2100,SSP585,12393866,8501128.01140083,3,Top-3,18532,11496.0619563984,0.00149525579831184,0.00135229841745485
4,mf_var,Plain MF RF,2071-2100SSP585,2071-2100,SSP585,12393866,8501128.01140083,5,Top-5,24619,15239.5009656874,0.00198638584603061,0.00179264456966767
5,mf_var,Plain MF RF,2071-2100SSP585,2071-2100,SSP585,12393866,8501128.01140083,1,Top-1,55389,31869.9289029414,0.00446906558453997,0.00374890589345329
5,mf_var,Plain MF RF,2071-2100SSP585,2071-2100,SSP585,12393866,8501128.01140083,3,Top-3,180405,106486.562631454,0.0145559908425668,0.0125261685847625
5,mf_var,Plain MF RF,2071-2100SSP585,2071-2100,SSP585,12393866,8501128.01140083,5,Top-5,236567,146871.376872377,0.0190874259895984,0.017276692772466
6,mf_var,Plain MF RF,2071-2100SSP585,2071-2100,SSP585,12393866,8501128.01140083,1,Top-1,1,0.614512479340077,8.06850743746947e-08,7.22859929312859e-08
6,mf_var,Plain MF RF,2071-2100SSP585,2071-2100,SSP585,12393866,8501128.01140083,3,Top-3,472,263.133718590936,3.80833551048559e-05,3.09528004093161e-05
6,mf_var,Plain MF RF,2071-2100SSP585,2071-2100,SSP585,12393866,8501128.01140083,5,Top-5,541,301.540241169651,4.36506252367098e-05,3.54706152836725e-05
7,mf_var,Plain MF RF,2071-2100SSP585,2071-2100,SSP585,12393866,8501128.01140083,1,Top-1,133856,88396.8844666906,0.0108001813154991,0.0103982535433112
7,mf_var,Plain MF RF,2071-2100SSP585,2071-2100,SSP585,12393866,8501128.01140083,3,Top-3,430168,286756.610770881,0.0347081370736137,0.0337315954290199
7,mf_var,Plain MF RF,2071-2100SSP585,2071-2100,SSP585,12393866,8501128.01140083,5,Top-5,507953,339654.956338963,0.0409842255838493,0.0399541044298419
9,mf_var,Plain MF RF,2071-2100SSP585,2071-2100,SSP585,12393866,8501128.01140083,1,Top-1,190,121.411541275805,1.5330164131192e-05,1.42818154382548e-05
9,mf_var,Plain MF RF,2071-2100SSP585,2071-2100,SSP585,12393866,8501128.01140083,3,Top-3,3991,2247.29853370004,0.000322014131829407,0.000264352981238043
9,mf_var,Plain MF RF,2071-2100SSP585,2071-2100,SSP585,12393866,8501128.01140083,5,Top-5,5242,2971.73117548553,0.00042295115987215,0.000349569042073022
10,mf_var,Plain MF RF,2071-2100SSP585,2071-2100,SSP585,12393866,8501128.01140083,1,Top-1,267742,197777.804511774,0.0216027831832295,0.0232648895824807
10,mf_var,Plain MF RF,2071-2100SSP585,2071-2100,SSP585,12393866,8501128.01140083,3,Top-3,435248,321202.69091257,0.0351180172514371,0.0377835377236769
10,mf_var,Plain MF RF,2071-2100SSP585,2071-2100,SSP585,12393866,8501128.01140083,5,Top-5,459128,338566.403961505,0.0370447768275048,0.0398260564371522
11,mf_var,Plain MF RF,2071-2100SSP585,2071-2100,SSP585,12393866,8501128.01140083,1,Top-1,43382,25652.7269606633,0.00350027989652301,0.00301756742473005
11,mf_var,Plain MF RF,2071-2100SSP585,2071-2100,SSP585,12393866,8501128.01140083,3,Top-3,91977,55035.0024973617,0.0074211710857613,0.00647384704989203
11,mf_var,Plain MF RF,2071-2100SSP585,2071-2100,SSP585,12393866,8501128.01140083,5,Top-5,102442,61896.2329492901,0.00826554038909248,0.00728094352493943
12,mf_var,Plain MF RF,2071-2100SSP585,2071-2100,SSP585,12393866,8501128.01140083,1,Top-1,651444,384237.810739815,0.0525618075909486,0.045198450161498
12,mf_var,Plain MF RF,2071-2100SSP585,2071-2100,SSP585,12393866,8501128.01140083,3,Top-3,878847,520710.820324258,0.0709098355589773,0.0612519679301306
12,mf_var,Plain MF RF,2071-2100SSP585,2071-2100,SSP585,12393866,8501128.01140083,5,Top-5,888972,527115.996361478,0.0717267719370211,0.062005418063881
13,mf_var,Plain MF RF,2071-2100SSP585,2071-2100,SSP585,12393866,8501128.01140083,1,Top-1,174761,113191.357434234,0.014100604282796,0.0133148633078379
13,mf_var,Plain MF RF,2071-2100SSP585,2071-2100,SSP585,12393866,8501128.01140083,3,Top-3,385137,250222.101898622,0.0310748074894468,0.029433988238155
13,mf_var,Plain MF RF,2071-2100SSP585,2071-2100,SSP585,12393866,8501128.01140083,5,Top-5,404055,262710.45864142,0.0326012077264673,0.0309030117284554
