Species,method,method_label,scenario,period,ssp,common_valid_pixels,common_valid_area_km2,rank_cutoff,rank_label,pixel_count,area_km2,pixel_share,area_share
chamFor,rf_var,Plain RF,2071-2100SSP245,2071-2100,SSP245,12393866,8501128.01140083,1,Top-1,2341370,1767791.03257418,0.188913612588679,0.207947819419187
chamFor,rf_var,Plain RF,2071-2100SSP245,2071-2100,SSP245,12393866,8501128.01140083,3,Top-3,3055324,2309675.45567555,0.24651904417879,0.271690468909309
chamFor,rf_var,Plain RF,2071-2100SSP245,2071-2100,SSP245,12393866,8501128.01140083,5,Top-5,3291527,2488379.88558525,0.265577100801316,0.292711729813748
cyclLon,rf_var,Plain RF,2071-2100SSP245,2071-2100,SSP245,12393866,8501128.01140083,1,Top-1,2185017,1648501.57383293,0.176298259154972,0.193915627622844
cyclLon,rf_var,Plain RF,2071-2100SSP245,2071-2100,SSP245,12393866,8501128.01140083,3,Top-3,2843858,2147959.2526081,0.229456894241071,0.252667557732042
cyclLon,rf_var,Plain RF,2071-2100SSP245,2071-2100,SSP245,12393866,8501128.01140083,5,Top-5,3148361,2380423.32098603,0.254025741443388,0.280012642768543
lariGme,rf_var,Plain RF,2071-2100SSP245,2071-2100,SSP245,12393866,8501128.01140083,1,Top-1,1434373,867986.68960574,0.115732492186054,0.102102531386621
lariGme,rf_var,Plain RF,2071-2100SSP245,2071-2100,SSP245,12393866,8501128.01140083,3,Top-3,2175604,1343953.62124134,0.175538770549883,0.158091210888599
lariGme,rf_var,Plain RF,2071-2100SSP245,2071-2100,SSP245,12393866,8501128.01140083,5,Top-5,2378388,1487058.78016542,0.191900412671881,0.174924877989266
lariOlg,rf_var,Plain RF,2071-2100SSP245,2071-2100,SSP245,12393866,8501128.01140083,1,Top-1,2331379,1465046.56470927,0.188107488010601,0.172335549205294
lariOlg,rf_var,Plain RF,2071-2100SSP245,2071-2100,SSP245,12393866,8501128.01140083,3,Top-3,3102639,1963016.52127785,0.250336658472828,0.230912476396691
lariOlg,rf_var,Plain RF,2071-2100SSP245,2071-2100,SSP245,12393866,8501128.01140083,5,Top-5,3210231,2034343.83437243,0.259017726994951,0.239302811537972
phylPub,rf_var,Plain RF,2071-2100SSP245,2071-2100,SSP245,12393866,8501128.01140083,1,Top-1,2601504,1961630.11532015,0.209902543726066,0.230749391455982
phylPub,rf_var,Plain RF,2071-2100SSP245,2071-2100,SSP245,12393866,8501128.01140083,3,Top-3,3081372,2331248.95686933,0.248620728996102,0.274228191099217
phylPub,rf_var,Plain RF,2071-2100SSP245,2071-2100,SSP245,12393866,8501128.01140083,5,Top-5,3189712,2411763.47074656,0.257362149953856,0.283699229974205
pinuSyl,rf_var,Plain RF,2071-2100SSP245,2071-2100,SSP245,12393866,8501128.01140083,1,Top-1,1752728,1095842.9502165,0.14141898903861,0.12890559332207
pinuSyl,rf_var,Plain RF,2071-2100SSP245,2071-2100,SSP245,12393866,8501128.01140083,3,Top-3,2631613,1659310.54801768,0.212331890630413,0.195187102910623
pinuSyl,rf_var,Plain RF,2071-2100SSP245,2071-2100,SSP245,12393866,8501128.01140083,5,Top-5,2855976,1814506.50866454,0.230434635972343,0.213443028528816
pinuYun,rf_var,Plain RF,2071-2100SSP245,2071-2100,SSP245,12393866,8501128.01140083,1,Top-1,4076050,2987178.83189956,0.328876397404974,0.351386172269546
pinuYun,rf_var,Plain RF,2071-2100SSP245,2071-2100,SSP245,12393866,8501128.01140083,3,Top-3,5804932,4180487.45502433,0.468371370160045,0.491756793853462
pinuYun,rf_var,Plain RF,2071-2100SSP245,2071-2100,SSP245,12393866,8501128.01140083,5,Top-5,6124489,4395390.01368723,0.494154850472,0.517036093068189
querVar,rf_var,Plain RF,2071-2100SSP245,2071-2100,SSP245,12393866,8501128.01140083,1,Top-1,5421033,3793422.54524087,0.437396450792674,0.446225787937027
querVar,rf_var,Plain RF,2071-2100SSP245,2071-2100,SSP245,12393866,8501128.01140083,3,Top-3,6500858,4534465.83490917,0.524522211229329,0.533395783339343
querVar,rf_var,Plain RF,2071-2100SSP245,2071-2100,SSP245,12393866,8501128.01140083,5,Top-5,6619474,4616035.35385293,0.534092752011358,0.54299092398825
robiPse,rf_var,Plain RF,2071-2100SSP245,2071-2100,SSP245,12393866,8501128.01140083,1,Top-1,2881742,1839717.07633752,0.232513567598681,0.216408584116165
robiPse,rf_var,Plain RF,2071-2100SSP245,2071-2100,SSP245,12393866,8501128.01140083,3,Top-3,3310115,2105964.36964185,0.267076874963793,0.247727638828347
robiPse,rf_var,Plain RF,2071-2100SSP245,2071-2100,SSP245,12393866,8501128.01140083,5,Top-5,3395424,2162159.0356577,0.273960037973623,0.254337898777438
saliMat,rf_var,Plain RF,2071-2100SSP245,2071-2100,SSP245,12393866,8501128.01140083,1,Top-1,1591948,1010909.03392389,0.128446442780646,0.118914693740427
saliMat,rf_var,Plain RF,2071-2100SSP245,2071-2100,SSP245,12393866,8501128.01140083,3,Top-3,2408269,1528503.90561674,0.194311363379272,0.179800128120276
saliMat,rf_var,Plain RF,2071-2100SSP245,2071-2100,SSP245,12393866,8501128.01140083,5,Top-5,2542058,1618624.24365445,0.205106138794788,0.190401114003191
