source_zone,method,method_label,scenario,period,ssp,common_valid_pixels,common_valid_area_km2,rank_cutoff,rank_label,pixel_count,area_km2,pixel_share,area_share
1,rf_var,Plain RF,2071-2100SSP585,2071-2100,SSP585,12393866,8501128.01140083,1,Top-1,67005,47078.3663761737,0.00540630340847642,0.00553789641951481
1,rf_var,Plain RF,2071-2100SSP585,2071-2100,SSP585,12393866,8501128.01140083,3,Top-3,131420,93146.6430737251,0.0106036324743224,0.01095697452724
1,rf_var,Plain RF,2071-2100SSP585,2071-2100,SSP585,12393866,8501128.01140083,5,Top-5,198798,142627.333982437,0.0160400314155406,0.0167774598607573
2,rf_var,Plain RF,2071-2100SSP585,2071-2100,SSP585,12393866,8501128.01140083,1,Top-1,26755,16124.7291848338,0.00215872916489496,0.00189677524714473
2,rf_var,Plain RF,2071-2100SSP585,2071-2100,SSP585,12393866,8501128.01140083,3,Top-3,104819,63509.7357208403,0.00845732881088112,0.00747074219276167
2,rf_var,Plain RF,2071-2100SSP585,2071-2100,SSP585,12393866,8501128.01140083,5,Top-5,122046,74813.6405131281,0.00984729058713399,0.0088004368847047
3,rf_var,Plain RF,2071-2100SSP585,2071-2100,SSP585,12393866,8501128.01140083,1,Top-1,358944,221810.404449178,0.0289614233363504,0.0260918791190662
3,rf_var,Plain RF,2071-2100SSP585,2071-2100,SSP585,12393866,8501128.01140083,3,Top-3,694514,438270.028335231,0.0560369137442667,0.0515543381710602
3,rf_var,Plain RF,2071-2100SSP585,2071-2100,SSP585,12393866,8501128.01140083,5,Top-5,784614,499382.838647492,0.0633066389454267,0.0587431265565901
4,rf_var,Plain RF,2071-2100SSP585,2071-2100,SSP585,12393866,8501128.01140083,1,Top-1,3427,2125.88048093526,0.000276507749882079,0.000250070399843909
4,rf_var,Plain RF,2071-2100SSP585,2071-2100,SSP585,12393866,8501128.01140083,3,Top-3,19341,11960.6214788579,0.00156053002348097,0.00140694522689431
4,rf_var,Plain RF,2071-2100SSP585,2071-2100,SSP585,12393866,8501128.01140083,5,Top-5,25090,15505.0760854148,0.00202438851606109,0.00182388455562849
5,rf_var,Plain RF,2071-2100SSP585,2071-2100,SSP585,12393866,8501128.01140083,1,Top-1,66919,38191.0515690112,0.0053993644920802,0.00449246870742252
5,rf_var,Plain RF,2071-2100SSP585,2071-2100,SSP585,12393866,8501128.01140083,3,Top-3,209543,123159.699216353,0.0169069925396967,0.0144874537886247
5,rf_var,Plain RF,2071-2100SSP585,2071-2100,SSP585,12393866,8501128.01140083,5,Top-5,272442,167535.529559103,0.0219820030327906,0.0197074469804973
6,rf_var,Plain RF,2071-2100SSP585,2071-2100,SSP585,12393866,8501128.01140083,1,Top-1,4,2.37716040060234,3.22740297498779e-07,2.79628820718185e-07
6,rf_var,Plain RF,2071-2100SSP585,2071-2100,SSP585,12393866,8501128.01140083,3,Top-3,444,246.328750923595,3.58241730223644e-05,2.89760077242979e-05
6,rf_var,Plain RF,2071-2100SSP585,2071-2100,SSP585,12393866,8501128.01140083,5,Top-5,468,259.519884135707,3.77606148073571e-05,3.05276998285011e-05
7,rf_var,Plain RF,2071-2100SSP585,2071-2100,SSP585,12393866,8501128.01140083,1,Top-1,151761,99669.9941668286,0.012244847572178,0.0117243257639647
7,rf_var,Plain RF,2071-2100SSP585,2071-2100,SSP585,12393866,8501128.01140083,3,Top-3,448104,297373.18000512,0.0361553045675982,0.0349804378438149
7,rf_var,Plain RF,2071-2100SSP585,2071-2100,SSP585,12393866,8501128.01140083,5,Top-5,528045,351612.474602465,0.0426053500981857,0.0413606846210196
9,rf_var,Plain RF,2071-2100SSP585,2071-2100,SSP585,12393866,8501128.01140083,1,Top-1,179,114.378432382948,1.44426283130704e-05,1.34545006532728e-05
9,rf_var,Plain RF,2071-2100SSP585,2071-2100,SSP585,12393866,8501128.01140083,3,Top-3,8692,4756.87184091738,0.000701314666464846,0.000559557723932396
9,rf_var,Plain RF,2071-2100SSP585,2071-2100,SSP585,12393866,8501128.01140083,5,Top-5,9862,5427.78657208173,0.000795716203483239,0.000638478395432059
10,rf_var,Plain RF,2071-2100SSP585,2071-2100,SSP585,12393866,8501128.01140083,1,Top-1,275814,203649.949984204,0.022254073103582,0.0239556385589171
10,rf_var,Plain RF,2071-2100SSP585,2071-2100,SSP585,12393866,8501128.01140083,3,Top-3,432735,319283.244806107,0.0349152556595335,0.0375577504982772
10,rf_var,Plain RF,2071-2100SSP585,2071-2100,SSP585,12393866,8501128.01140083,5,Top-5,455575,335883.03823131,0.0367581027582515,0.0395104082400428
11,rf_var,Plain RF,2071-2100SSP585,2071-2100,SSP585,12393866,8501128.01140083,1,Top-1,46360,27049.1675503011,0.00374056004801085,0.00318183275372698
11,rf_var,Plain RF,2071-2100SSP585,2071-2100,SSP585,12393866,8501128.01140083,3,Top-3,91868,54883.2353461431,0.00741237641265445,0.00645599446009275
11,rf_var,Plain RF,2071-2100SSP585,2071-2100,SSP585,12393866,8501128.01140083,5,Top-5,103904,62784.9790185527,0.00838350196782828,0.0073854880122205
12,rf_var,Plain RF,2071-2100SSP585,2071-2100,SSP585,12393866,8501128.01140083,1,Top-1,604715,356773.906970003,0.0487914747504935,0.0419678313856156
12,rf_var,Plain RF,2071-2100SSP585,2071-2100,SSP585,12393866,8501128.01140083,3,Top-3,844039,499711.295799688,0.0681013494901429,0.058781763447101
12,rf_var,Plain RF,2071-2100SSP585,2071-2100,SSP585,12393866,8501128.01140083,5,Top-5,858322,508737.154355752,0.0692537744074367,0.0598434882610268
13,rf_var,Plain RF,2071-2100SSP585,2071-2100,SSP585,12393866,8501128.01140083,1,Top-1,168566,109315.662666556,0.0136007602470448,0.0128589597192224
13,rf_var,Plain RF,2071-2100SSP585,2071-2100,SSP585,12393866,8501128.01140083,3,Top-3,377780,245404.232547513,0.0304812073972722,0.0288672552887573
13,rf_var,Plain RF,2071-2100SSP585,2071-2100,SSP585,12393866,8501128.01140083,5,Top-5,397866,258635.840081586,0.0321018478011623,0.030423708446071
14,rf_var,Plain RF,2071-2100SSP585,2071-2100,SSP585,12393866,8501128.01140083,1,Top-1,35882,22047.4813625232,0.0028951418387128,0.00259347716361351
14,rf_var,Plain RF,2071-2100SSP585,2071-2100,SSP585,12393866,8501128.01140083,3,Top-3,69361,42777.9214299136,0.0055963974437032,0.00503202885223517
14,rf_var,Plain RF,2071-2100SSP585,2071-2100,SSP585,12393866,8501128.01140083,5,Top-5,70460,43450.7269589698,0.00568507034044099,0.00511117194102926
15,rf_var,Plain RF,2071-2100SSP585,2071-2100,SSP585,12393866,8501128.01140083,1,Top-1,411389,266982.142148821,0.0331929520619313,0.0314054960460273
15,rf_var,Plain RF,2071-2100SSP585,2071-2100,SSP585,12393866,8501128.01140083,3,Top-3,921641,598490.970997705,0.074362672631768,0.0704013597013327
15,rf_var,Plain RF,2071-2100SSP585,2071-2100,SSP585,12393866,8501128.01140083,5,Top-5,931549,604562.553410458,0.0751621003486725,0.0711155687339
16,rf_var,Plain RF,2071-2100SSP585,2071-2100,SSP585,12393866,8501128.01140083,1,Top-1,235210,169665.710589056,0.0189779363436719,0.0199580232601507
16,rf_var,Plain RF,2071-2100SSP585,2071-2100,SSP585,12393866,8501128.01140083,3,Top-3,977625,702615.855019039,0.0788797458355609,0.0826497206108135
16,rf_var,Plain RF,2071-2100SSP585,2071-2100,SSP585,12393866,8501128.01140083,5,Top-5,1159149,833552.904935748,0.093526023276353,0.0980520354261074
17,rf_var,Plain RF,2071-2100SSP585,2071-2100,SSP585,12393866,8501128.01140083,1,Top-1,21,14.2998797601323,1.69438656186859e-06,1.68211556642304e-06
17,rf_var,Plain RF,2071-2100SSP585,2071-2100,SSP585,12393866,8501128.01140083,3,Top-3,83,56.1685139947066,6.69686117309966e-06,6.60718364896744e-06
17,rf_var,Plain RF,2071-2100SSP585,2071-2100,SSP585,12393866,8501128.01140083,5,Top-5,174,119.274963177735,1.40392029411969e-05,1.40304866622142e-05
18,rf_var,Plain RF,2071-2100SSP585,2071-2100,SSP585,12393866,8501128.01140083,1,Top-1,618440,437377.46146596,0.0498988773962862,0.0514493442375405
18,rf_var,Plain RF,2071-2100SSP585,2071-2100,SSP585,12393866,8501128.01140083,3,Top-3,1444942,1030725.26530273,0.11658525273712,0.121245705736983
18,rf_var,Plain RF,2071-2100SSP585,2071-2100,SSP585,12393866,8501128.01140083,5,Top-5,1690493,1208760.32514991,0.136397553434901,0.142188227671533
