method_key,method_label,source_file,metric,value,metric_label,model_family
plain_rf,Plain RF,result maps/plain_rf/assigned_zone_normal_threshold0.2_tol1e-04_novel99_maskNA8_noNovelNormal.tif,individual_coverage,0.981506880504176,Individual map coverage,Binary dual-niche workflow
plain_mf,Plain MF RF,result maps/plain_mf/assigned_zone_normal_threshold0.2_tol1e-04_novel99_maskNA8_noNovelNormal.tif,individual_coverage,0.981506880504176,Individual map coverage,Binary dual-niche workflow
optimized_rf,Optimized RF,result maps/optimized_rf/assigned_zone_normal_threshold0.2_tol1e-04_novel99_maskNA8_noNovelNormal.tif,individual_coverage,0.981506880504176,Individual map coverage,Binary dual-niche workflow
optimized_mf,Optimized MF RF,result maps/optimized_mf/assigned_zone_normal_threshold0.2_tol1e-04_novel99_maskNA8_noNovelNormal.tif,individual_coverage,0.981506880504176,Individual map coverage,Binary dual-niche workflow
multiclass_rf,Multiclass RF,result maps/multiclass_rf/assigned_zone_normal_multiclass_rf.tif,individual_coverage,0.979962137725706,Individual map coverage,Multiclass robustness model
plain_rf,Plain RF,result maps/plain_rf/assigned_zone_normal_threshold0.2_tol1e-04_novel99_maskNA8_noNovelNormal.tif,coverage,0.979962137725706,Common comparison coverage,Binary dual-niche workflow
plain_mf,Plain MF RF,result maps/plain_mf/assigned_zone_normal_threshold0.2_tol1e-04_novel99_maskNA8_noNovelNormal.tif,coverage,0.979962137725706,Common comparison coverage,Binary dual-niche workflow
optimized_rf,Optimized RF,result maps/optimized_rf/assigned_zone_normal_threshold0.2_tol1e-04_novel99_maskNA8_noNovelNormal.tif,coverage,0.979962137725706,Common comparison coverage,Binary dual-niche workflow
optimized_mf,Optimized MF RF,result maps/optimized_mf/assigned_zone_normal_threshold0.2_tol1e-04_novel99_maskNA8_noNovelNormal.tif,coverage,0.979962137725706,Common comparison coverage,Binary dual-niche workflow
multiclass_rf,Multiclass RF,result maps/multiclass_rf/assigned_zone_normal_multiclass_rf.tif,coverage,0.979962137725706,Common comparison coverage,Multiclass robustness model
plain_rf,Plain RF,result maps/plain_rf/assigned_zone_normal_threshold0.2_tol1e-04_novel99_maskNA8_noNovelNormal.tif,exact_zone_accuracy,0.603595106640203,Exact-zone accuracy,Binary dual-niche workflow
plain_mf,Plain MF RF,result maps/plain_mf/assigned_zone_normal_threshold0.2_tol1e-04_novel99_maskNA8_noNovelNormal.tif,exact_zone_accuracy,0.604036989507302,Exact-zone accuracy,Binary dual-niche workflow
optimized_rf,Optimized RF,result maps/optimized_rf/assigned_zone_normal_threshold0.2_tol1e-04_novel99_maskNA8_noNovelNormal.tif,exact_zone_accuracy,0.61370935938298,Exact-zone accuracy,Binary dual-niche workflow
optimized_mf,Optimized MF RF,result maps/optimized_mf/assigned_zone_normal_threshold0.2_tol1e-04_novel99_maskNA8_noNovelNormal.tif,exact_zone_accuracy,0.559946728385883,Exact-zone accuracy,Binary dual-niche workflow
multiclass_rf,Multiclass RF,result maps/multiclass_rf/assigned_zone_normal_multiclass_rf.tif,exact_zone_accuracy,0.579889480795712,Exact-zone accuracy,Multiclass robustness model
plain_rf,Plain RF,result maps/plain_rf/assigned_zone_normal_threshold0.2_tol1e-04_novel99_maskNA8_noNovelNormal.tif,broad_category_accuracy,0.700078873020901,Broad-category accuracy,Binary dual-niche workflow
plain_mf,Plain MF RF,result maps/plain_mf/assigned_zone_normal_threshold0.2_tol1e-04_novel99_maskNA8_noNovelNormal.tif,broad_category_accuracy,0.700372141661118,Broad-category accuracy,Binary dual-niche workflow
optimized_rf,Optimized RF,result maps/optimized_rf/assigned_zone_normal_threshold0.2_tol1e-04_novel99_maskNA8_noNovelNormal.tif,broad_category_accuracy,0.710258018218375,Broad-category accuracy,Binary dual-niche workflow
optimized_mf,Optimized MF RF,result maps/optimized_mf/assigned_zone_normal_threshold0.2_tol1e-04_novel99_maskNA8_noNovelNormal.tif,broad_category_accuracy,0.673567193995306,Broad-category accuracy,Binary dual-niche workflow
multiclass_rf,Multiclass RF,result maps/multiclass_rf/assigned_zone_normal_multiclass_rf.tif,broad_category_accuracy,0.688625799235837,Broad-category accuracy,Multiclass robustness model
plain_rf,Plain RF,result maps/plain_rf/assigned_zone_normal_threshold0.2_tol1e-04_novel99_maskNA8_noNovelNormal.tif,macro_balanced_accuracy,0.825310268954916,Macro balanced accuracy,Binary dual-niche workflow
plain_mf,Plain MF RF,result maps/plain_mf/assigned_zone_normal_threshold0.2_tol1e-04_novel99_maskNA8_noNovelNormal.tif,macro_balanced_accuracy,0.825568575522051,Macro balanced accuracy,Binary dual-niche workflow
optimized_rf,Optimized RF,result maps/optimized_rf/assigned_zone_normal_threshold0.2_tol1e-04_novel99_maskNA8_noNovelNormal.tif,macro_balanced_accuracy,0.813455349514445,Macro balanced accuracy,Binary dual-niche workflow
optimized_mf,Optimized MF RF,result maps/optimized_mf/assigned_zone_normal_threshold0.2_tol1e-04_novel99_maskNA8_noNovelNormal.tif,macro_balanced_accuracy,0.803171676941079,Macro balanced accuracy,Binary dual-niche workflow
multiclass_rf,Multiclass RF,result maps/multiclass_rf/assigned_zone_normal_multiclass_rf.tif,macro_balanced_accuracy,0.857475445411857,Macro balanced accuracy,Multiclass robustness model
