metric,metric_label,multiclass_rf,optimized_rf,multiclass_minus_optimized_binary,higher_value,comparison_scope,source_file
individual_coverage,Individual map coverage,0.979962137725706,0.981506880504176,-0.00154474277847005,Optimized binary RF,Reference-map reconstruction against the original vegetation raster,Recalculated directly from original and assigned-zone rasters
coverage,Common comparison coverage,0.979962137725706,0.979962137725706,0,Equal,Reference-map reconstruction against the original vegetation raster,Recalculated directly from original and assigned-zone rasters
exact_zone_accuracy,Exact-zone accuracy,0.579889480795712,0.61370935938298,-0.0338198785872678,Optimized binary RF,Reference-map reconstruction against the original vegetation raster,Recalculated directly from original and assigned-zone rasters
broad_category_accuracy,Broad-category accuracy,0.688625799235837,0.710258018218375,-0.0216322189825381,Optimized binary RF,Reference-map reconstruction against the original vegetation raster,Recalculated directly from original and assigned-zone rasters
macro_balanced_accuracy,Macro balanced accuracy,0.857475445411857,0.813455349514445,0.0440200958974129,Multiclass RF,Reference-map reconstruction against the original vegetation raster,Recalculated directly from original and assigned-zone rasters
macro_recall,Macro recall,0.723043520262823,0.634435958288782,0.0886075619740412,Multiclass RF,Reference-map reconstruction against the original vegetation raster,Recalculated directly from original and assigned-zone rasters
macro_specificity,Macro specificity,0.991907370560892,0.992474740740108,-0.000567370179215376,Optimized binary RF,Reference-map reconstruction against the original vegetation raster,Recalculated directly from original and assigned-zone rasters
macro_precision,Macro precision,0.445372046786559,0.496597124682671,-0.0512250778961114,Optimized binary RF,Reference-map reconstruction against the original vegetation raster,Recalculated directly from original and assigned-zone rasters
macro_f1,Macro F1,0.482343146951163,0.532750036793147,-0.0504068898419839,Optimized binary RF,Reference-map reconstruction against the original vegetation raster,Recalculated directly from original and assigned-zone rasters
macro_tss,Macro TSS,0.714950890823715,0.626910699028889,0.0880401917948258,Multiclass RF,Reference-map reconstruction against the original vegetation raster,Recalculated directly from original and assigned-zone rasters
